method,training_step,query_id,problem_sha256,entropy_proxy_nats_per_token,response_tokens,reward,boxed_answer
Privilege-SD,15,deepmath:0021b0ab1a3d40bbda1f867883fcc2b471e8004bb1ceef94ae4d945a04331051,0021b0ab1a3d40bbda1f867883fcc2b471e8004bb1ceef94ae4d945a04331051,0.2096041450276971,4096,0,
Privilege-SD,16,deepmath:002231f1b4a81d1c3cd79b293ba11d6b0932a0a289f012ae4c37e53cceb8085e,002231f1b4a81d1c3cd79b293ba11d6b0932a0a289f012ae4c37e53cceb8085e,0.1917895539663732,4096,0,
Privilege-SD,17,deepmath:0023b171598bb9951d85c97138dffaa339dd71e418de52289f17b1c2accb2bf7,0023b171598bb9951d85c97138dffaa339dd71e418de52289f17b1c2accb2bf7,0.12047837255522609,4096,0,
Privilege-SD,18,deepmath:0024f2386f12d2ffd829ce0edb4b52255c884198a0ab4512921b16a489ef0e33,0024f2386f12d2ffd829ce0edb4b52255c884198a0ab4512921b16a489ef0e33,0.15184904960915446,4096,0,
Privilege-SD,19,deepmath:0024f4e3c836265ce9de50bc1570408221a74b8c963e77c81a3a6638cd12eb9a,0024f4e3c836265ce9de50bc1570408221a74b8c963e77c81a3a6638cd12eb9a,0.1656894394748337,2969,1,Yes
Privilege-SD,20,deepmath:00256fe2b7cb245266e332d3cea7caae53d541c5529ab9c8a7bdc11a67e7cbbc,00256fe2b7cb245266e332d3cea7caae53d541c5529ab9c8a7bdc11a67e7cbbc,0.1595334499143064,4096,0,
Privilege-SD,21,deepmath:0025b8fa07fb4804df8b60a33ac0e754a500755c86cd42f4523c68c5448a39bd,0025b8fa07fb4804df8b60a33ac0e754a500755c86cd42f4523c68c5448a39bd,0.142968128900975,4096,0,
Privilege-SD,22,deepmath:00305fc24c2fc85f439eef8ee27e2438a61faa8c730626b33cc2cd77e98ce7e3,00305fc24c2fc85f439eef8ee27e2438a61faa8c730626b33cc2cd77e98ce7e3,0.12691705906763673,4096,1,0
Privilege-SD,23,deepmath:003067ef78fc841f6ac3c3129143429ceb0f761eb3f4a1c23939abdc0e7ac9b4,003067ef78fc841f6ac3c3129143429ceb0f761eb3f4a1c23939abdc0e7ac9b4,0.09504505164873775,3607,1,\dfrac{1}{24}
Privilege-SD,24,deepmath:0030a39029723cf4d2824fd7ff62334d027102bd1ba42320b18e529b88b130f9,0030a39029723cf4d2824fd7ff62334d027102bd1ba42320b18e529b88b130f9,0.08516603102907538,4096,0,
Privilege-SD,25,deepmath:0032318139255abd2fb48e206ecc904b66dc536f2614324133a848ca0b62703a,0032318139255abd2fb48e206ecc904b66dc536f2614324133a848ca0b62703a,0.10801605647429824,4096,0,
Privilege-SD,26,deepmath:003412a3995cee9376a190a014939f06674cd6a6d7b35c1a7522a50b973e57ac,003412a3995cee9376a190a014939f06674cd6a6d7b35c1a7522a50b973e57ac,0.12551506469026208,4096,0,
Privilege-SD,27,deepmath:003830d329c5036826b544eb05a5af80dbd2a359aac850da0dcacfeb6716cafe,003830d329c5036826b544eb05a5af80dbd2a359aac850da0dcacfeb6716cafe,0.09229616168886423,4096,0,
Privilege-SD,28,deepmath:0038b4ece49376da9b176b48022b326becfa6d8b990467ff138402e37539558d,0038b4ece49376da9b176b48022b326becfa6d8b990467ff138402e37539558d,0.09617181587964296,4096,0,
Privilege-SD,29,deepmath:003dcaad84f5c21a1487c54b23209c79a90072273df7a29e35dd63845b52107f,003dcaad84f5c21a1487c54b23209c79a90072273df7a29e35dd63845b52107f,0.128927790094167,4096,0,
Privilege-SD,30,deepmath:003dd754a0b261d696d349dddb4a34ef7d50972c4201891c23ff46d4ef00bede,003dd754a0b261d696d349dddb4a34ef7d50972c4201891c23ff46d4ef00bede,0.11851948359981179,4096,0,
Privilege-SD,31,deepmath:003e4e800a59d605dcd72b1719d992d346b01b6e895f6a92a7b12f39b58aaaa1,003e4e800a59d605dcd72b1719d992d346b01b6e895f6a92a7b12f39b58aaaa1,0.11701950430870056,4096,0,
Privilege-SD,32,deepmath:003f11a5f8ee77c15cb77c3af9f2a4a07b00c80d0646b49748e70794c6d00e00,003f11a5f8ee77c15cb77c3af9f2a4a07b00c80d0646b49748e70794c6d00e00,0.16644667957410353,1534,1,Yes
Privilege-SD,33,deepmath:0042ff3872891ac71b4a7bf6a9e70c583bb12a3253c423f3b438d1ce982fd773,0042ff3872891ac71b4a7bf6a9e70c583bb12a3253c423f3b438d1ce982fd773,0.11680986965075135,4096,1,Yes
Privilege-SD,34,deepmath:00465b0dba3ed87e4b7c8e6a307870f90d33588ebf9e5928f0b570bdaf1e2a96,00465b0dba3ed87e4b7c8e6a307870f90d33588ebf9e5928f0b570bdaf1e2a96,0.09160533174872398,4096,0,
Privilege-SD,35,deepmath:00483c5e025c9dff3522155103e5ac71456db89cf7720691de75cdaeff69e3cc,00483c5e025c9dff3522155103e5ac71456db89cf7720691de75cdaeff69e3cc,0.09340168396010995,4096,0,
Privilege-SD,36,deepmath:004cad66393fc699153db15fa50b9068d07fb36707ae0e10a5acc9827a78cd55,004cad66393fc699153db15fa50b9068d07fb36707ae0e10a5acc9827a78cd55,0.09909982280805707,4096,0,
Privilege-SD,37,deepmath:004fbec5f3d0f4836287dc846f18743dc62e33181d7743963994345dfc05d580,004fbec5f3d0f4836287dc846f18743dc62e33181d7743963994345dfc05d580,0.09966720268130302,4096,1,\dfrac{\pi}{4}
Privilege-SD,38,deepmath:005a74061981d1174955f0d339217a910c724ac259267990b75a859417309ba5,005a74061981d1174955f0d339217a910c724ac259267990b75a859417309ba5,0.11175095709040761,4096,0,
Privilege-SD,39,deepmath:005a8826414aec0cdf8fdb68a2c9759982ac52715514f8930b08d67176e76b8a,005a8826414aec0cdf8fdb68a2c9759982ac52715514f8930b08d67176e76b8a,0.10526628606021404,4096,0,
Privilege-SD,40,deepmath:005ef7c198b0f12d759d3c44022c5b9b6835885d9adedf3299a5a841dfa37606,005ef7c198b0f12d759d3c44022c5b9b6835885d9adedf3299a5a841dfa37606,0.12669944670051336,4096,0,
Privilege-SD,41,deepmath:005fcaa3cd5ce509ada79200159f2963f75cce3f4b342e909dcce691603f6363,005fcaa3cd5ce509ada79200159f2963f75cce3f4b342e909dcce691603f6363,0.11406381195411086,4096,0,
Privilege-SD,42,deepmath:005ff290fdf393d59a5b8d4290edb9fc45fd31cbc060c53fe670a49e1a707207,005ff290fdf393d59a5b8d4290edb9fc45fd31cbc060c53fe670a49e1a707207,0.14651528000831604,4096,0,
Privilege-SD,43,deepmath:006019d0d8727759a668b590d4d18310ef26f000198fc45615c8344f1836bc4c,006019d0d8727759a668b590d4d18310ef26f000198fc45615c8344f1836bc4c,0.11024263454601169,4096,0,
Privilege-SD,44,deepmath:0062d8df17cfc213a76d55cf9f0fcc49bf35eb2f8d4e3ef22a079fc8050263b5,0062d8df17cfc213a76d55cf9f0fcc49bf35eb2f8d4e3ef22a079fc8050263b5,0.09679095362439567,3240,1,"(0, 3)"
Privilege-SD,45,deepmath:006a6296970c739aec0280d9a66a4cea45836909b1d98923d278f9d94eb62692,006a6296970c739aec0280d9a66a4cea45836909b1d98923d278f9d94eb62692,0.14984283782541752,4096,1,False
Privilege-SD,46,deepmath:006aa68dbaf5b654ad3071979c89dfa8a1b353843094321f7bbcd771349e6303,006aa68dbaf5b654ad3071979c89dfa8a1b353843094321f7bbcd771349e6303,0.19481681752949953,4096,0,
Privilege-SD,47,deepmath:006c20fbdd524d08de9e89f371a1028b99a786d0f46aa240fbc25f4ffb877deb,006c20fbdd524d08de9e89f371a1028b99a786d0f46aa240fbc25f4ffb877deb,0.2045398051512308,2864,1,1
Privilege-SD,48,deepmath:006dc7e74a6c3850528e77c89f42357031e793700d0f5f4758cdbb3cc38bfce7,006dc7e74a6c3850528e77c89f42357031e793700d0f5f4758cdbb3cc38bfce7,0.08059231843799353,4096,0,
Privilege-SD,49,deepmath:006ee740e3abf3acfb855487b476f329ba01c7f442dcea89e1b62c1a84b2f82b,006ee740e3abf3acfb855487b476f329ba01c7f442dcea89e1b62c1a84b2f82b,0.13727855496108532,4096,0,
Privilege-SD,50,deepmath:0072530d36b2fe8963e61adb9abcf872fe99ac784e35ebdb7d493a9c9ddc8c73,0072530d36b2fe8963e61adb9abcf872fe99ac784e35ebdb7d493a9c9ddc8c73,0.20191041799262166,4096,0,
Privilege-SD,51,deepmath:0072a410ec2ad19dff87ce7c3854f83df91a11de998171c990d6ca603379c276,0072a410ec2ad19dff87ce7c3854f83df91a11de998171c990d6ca603379c276,0.13508382299914956,4096,0,
Privilege-SD,52,deepmath:00757aaaa1947c28b2354d393d3d6b3997eedb797aaa9adb240d92236e4e5cbd,00757aaaa1947c28b2354d393d3d6b3997eedb797aaa9adb240d92236e4e5cbd,0.12693547690287232,4096,0,
Privilege-SD,53,deepmath:007584128ece78d87b2918b9c9a40bf6440654fd04dbc074f4cee50f83651029,007584128ece78d87b2918b9c9a40bf6440654fd04dbc074f4cee50f83651029,0.13397728892370958,1796,1,\text{Yes}
Privilege-SD,54,deepmath:00765d46d60d516368b3882f1790d110b557b285c44e4de4bc77151a88178d01,00765d46d60d516368b3882f1790d110b557b285c44e4de4bc77151a88178d01,0.19729389948770404,4096,0,
Privilege-SD,55,deepmath:0076d82cd80345e2fef2aa0e8075b95dc5aa7fc14bfd5309ea5a9e82b0c997de,0076d82cd80345e2fef2aa0e8075b95dc5aa7fc14bfd5309ea5a9e82b0c997de,0.12077650520950556,4096,1,e^{-z}
Privilege-SD,56,deepmath:0078489488852fcf62ea236485cfb162411bdbaa4dfa7917c982e26b6f956d74,0078489488852fcf62ea236485cfb162411bdbaa4dfa7917c982e26b6f956d74,0.1000590771777679,3059,1,2
Privilege-SD,57,deepmath:00792ef532c63549590ae6ba78dbff2fd1b98206fb3b7db8a0481c3e4dc68005,00792ef532c63549590ae6ba78dbff2fd1b98206fb3b7db8a0481c3e4dc68005,0.21006086639450924,2618,0,\text{No}
Privilege-SD,58,deepmath:007bd5213ed53954fc9cea10022b7c2eeedd93a590a6b87867dd71396df24547,007bd5213ed53954fc9cea10022b7c2eeedd93a590a6b87867dd71396df24547,0.1752754021435976,4096,0,
Privilege-SD,59,deepmath:007ebc494c1ba6694022a6ae814c36264169fc2670594568135ed0ecbceb69e6,007ebc494c1ba6694022a6ae814c36264169fc2670594568135ed0ecbceb69e6,0.18813891984919653,3638,0,"\text{All the listed convergence results hold, up to a subsequence.}"
Privilege-SD,60,deepmath:007f22293e9b6868f90b4c24378641097b6637f2d463c8c3e69540a9a12d779d,007f22293e9b6868f90b4c24378641097b6637f2d463c8c3e69540a9a12d779d,0.22579268598929048,4096,0,
Privilege-SD,61,deepmath:0081b6f03c24a7151ca8a2b8dbbd8b75f6227f8068a3c43d88a3e7227583aa8c,0081b6f03c24a7151ca8a2b8dbbd8b75f6227f8068a3c43d88a3e7227583aa8c,0.2414807676683283,3053,1,1
Privilege-SD,62,deepmath:0086c010b9d632e4f89d32600eb4f1403cb9e9e260fcaf3d01d216fae135540f,0086c010b9d632e4f89d32600eb4f1403cb9e9e260fcaf3d01d216fae135540f,0.2081158636137843,4096,0,
Privilege-SD,63,deepmath:0087f799089ae3e7e95c866954aaf8445958600cfd429f972e0229473c455471,0087f799089ae3e7e95c866954aaf8445958600cfd429f972e0229473c455471,0.12908224534180204,2832,1,p(p^2 - 1)
Privilege-SD,64,deepmath:008bf863b4040bc64f4359e5b0b35ddec9723395cfa59765a88a066679c8357b,008bf863b4040bc64f4359e5b0b35ddec9723395cfa59765a88a066679c8357b,0.08975753287843612,2690,1,\lambda p
TRSD,1,deepmath:000396a98596544c4efcf7920bd3593967798c51453c9b87fd9fce5e5671dff9,000396a98596544c4efcf7920bd3593967798c51453c9b87fd9fce5e5671dff9,0.18782390420052925,6036,1,Yes
TRSD,2,deepmath:0004c6dd393a6e2adcaa8b18b7e87d3f2bb7f3e51d739c2a5c4295824af67be0,0004c6dd393a6e2adcaa8b18b7e87d3f2bb7f3e51d739c2a5c4295824af67be0,0.11475668880188587,8449,1,e
TRSD,3,deepmath:00080e19a89caf5e89e3c03f2ed4e42a14af9cbba3ffb24665ce6b7e71498f8e,00080e19a89caf5e89e3c03f2ed4e42a14af9cbba3ffb24665ce6b7e71498f8e,0.15008806709634417,10088,0,
TRSD,4,deepmath:0009caf591ccc2b1ced8c9237dc60901c08b60814fbf5bdb5c140c9440499f38,0009caf591ccc2b1ced8c9237dc60901c08b60814fbf5bdb5c140c9440499f38,0.23380776324511024,9003,1,0
TRSD,5,deepmath:000bec85574983ccd7fa789e3004278a170c434e5fed0c2670a2675e45795fd0,000bec85574983ccd7fa789e3004278a170c434e5fed0c2670a2675e45795fd0,0.13090745427075423,6852,1,\pi
TRSD,6,deepmath:000ce126a7cd12f004824d5218ae1bd505e3b61f8ca9acf5a135cd5649457bad,000ce126a7cd12f004824d5218ae1bd505e3b61f8ca9acf5a135cd5649457bad,0.2200937524024673,6599,1,Yes
TRSD,7,deepmath:0010c2479ec729a3849fb9597d860ccbe10c6b5fdedb63084ef3a2f9aa00899c,0010c2479ec729a3849fb9597d860ccbe10c6b5fdedb63084ef3a2f9aa00899c,0.21976097876105466,10038,0,
TRSD,8,deepmath:00110ba1c0fc2813cfb009f0fd0c8464282dec9f8c4bcb7a75baef9477efaca2,00110ba1c0fc2813cfb009f0fd0c8464282dec9f8c4bcb7a75baef9477efaca2,0.19533011981730358,10069,0,
TRSD,9,deepmath:00113db063e1c3e78d585294481d46b878a50973b15386daabb17d70997a9641,00113db063e1c3e78d585294481d46b878a50973b15386daabb17d70997a9641,0.23521421290051958,5490,1,Yes
TRSD,10,deepmath:0017bfb4db362431d2d67e122109b658e0ae133af418c50d20d309d5e6cbee4e,0017bfb4db362431d2d67e122109b658e0ae133af418c50d20d309d5e6cbee4e,0.23197778849634318,10101,0,
TRSD,11,deepmath:0019d522f65921ae7716a06a3640a9dd001b2cc37cb81d918f42a17df2e56d08,0019d522f65921ae7716a06a3640a9dd001b2cc37cb81d918f42a17df2e56d08,0.1872703951783339,6693,1,Yes
TRSD,12,deepmath:001ad0c6d02140cf28c798e3f7ae71bbd9e725fa3d997a64f91ffda63abfae6f,001ad0c6d02140cf28c798e3f7ae71bbd9e725fa3d997a64f91ffda63abfae6f,0.19442344478638326,6001,1,Yes
TRSD,13,deepmath:001c5b850b4838e15526cabbcaefcfface733f398c58069d733ab43514528437,001c5b850b4838e15526cabbcaefcfface733f398c58069d733ab43514528437,0.19294324060747312,3793,1,Yes
TRSD,14,deepmath:002077dd6c1ff0e84014b2317f2afa082d05bd30adb11e1c285ac97102b453b2,002077dd6c1ff0e84014b2317f2afa082d05bd30adb11e1c285ac97102b453b2,0.19851329794770392,10089,0,
TRSD,15,deepmath:0021b0ab1a3d40bbda1f867883fcc2b471e8004bb1ceef94ae4d945a04331051,0021b0ab1a3d40bbda1f867883fcc2b471e8004bb1ceef94ae4d945a04331051,0.20591186704916142,9417,1,\pi
TRSD,16,deepmath:002231f1b4a81d1c3cd79b293ba11d6b0932a0a289f012ae4c37e53cceb8085e,002231f1b4a81d1c3cd79b293ba11d6b0932a0a289f012ae4c37e53cceb8085e,0.17283869851408237,8084,1,Yes
TRSD,17,deepmath:0023b171598bb9951d85c97138dffaa339dd71e418de52289f17b1c2accb2bf7,0023b171598bb9951d85c97138dffaa339dd71e418de52289f17b1c2accb2bf7,0.13024201483364137,10093,0,
TRSD,18,deepmath:0024f2386f12d2ffd829ce0edb4b52255c884198a0ab4512921b16a489ef0e33,0024f2386f12d2ffd829ce0edb4b52255c884198a0ab4512921b16a489ef0e33,0.15248012599166175,10138,0,
TRSD,19,deepmath:0024f4e3c836265ce9de50bc1570408221a74b8c963e77c81a3a6638cd12eb9a,0024f4e3c836265ce9de50bc1570408221a74b8c963e77c81a3a6638cd12eb9a,0.15021970305824206,2613,1,Yes
TRSD,20,deepmath:00256fe2b7cb245266e332d3cea7caae53d541c5529ab9c8a7bdc11a67e7cbbc,00256fe2b7cb245266e332d3cea7caae53d541c5529ab9c8a7bdc11a67e7cbbc,0.1561867829313342,6141,1,0
TRSD,21,deepmath:0025b8fa07fb4804df8b60a33ac0e754a500755c86cd42f4523c68c5448a39bd,0025b8fa07fb4804df8b60a33ac0e754a500755c86cd42f4523c68c5448a39bd,0.14440378661135986,3386,1,Yes
TRSD,22,deepmath:00305fc24c2fc85f439eef8ee27e2438a61faa8c730626b33cc2cd77e98ce7e3,00305fc24c2fc85f439eef8ee27e2438a61faa8c730626b33cc2cd77e98ce7e3,0.11236087058807587,5720,1,0
TRSD,23,deepmath:003067ef78fc841f6ac3c3129143429ceb0f761eb3f4a1c23939abdc0e7ac9b4,003067ef78fc841f6ac3c3129143429ceb0f761eb3f4a1c23939abdc0e7ac9b4,0.10393128045209278,4334,1,\dfrac{1}{24}
TRSD,24,deepmath:0030a39029723cf4d2824fd7ff62334d027102bd1ba42320b18e529b88b130f9,0030a39029723cf4d2824fd7ff62334d027102bd1ba42320b18e529b88b130f9,0.09387601732217689,4094,1,\dfrac{\pi}{4}
TRSD,25,deepmath:0032318139255abd2fb48e206ecc904b66dc536f2614324133a848ca0b62703a,0032318139255abd2fb48e206ecc904b66dc536f2614324133a848ca0b62703a,0.1127238217545264,9694,1,Yes
TRSD,26,deepmath:003412a3995cee9376a190a014939f06674cd6a6d7b35c1a7522a50b973e57ac,003412a3995cee9376a190a014939f06674cd6a6d7b35c1a7522a50b973e57ac,0.1343809142885472,10120,0,No
TRSD,27,deepmath:003830d329c5036826b544eb05a5af80dbd2a359aac850da0dcacfeb6716cafe,003830d329c5036826b544eb05a5af80dbd2a359aac850da0dcacfeb6716cafe,0.10183845476311028,10124,0,
TRSD,28,deepmath:0038b4ece49376da9b176b48022b326becfa6d8b990467ff138402e37539558d,0038b4ece49376da9b176b48022b326becfa6d8b990467ff138402e37539558d,0.09794025179706042,10112,0,
TRSD,29,deepmath:003dcaad84f5c21a1487c54b23209c79a90072273df7a29e35dd63845b52107f,003dcaad84f5c21a1487c54b23209c79a90072273df7a29e35dd63845b52107f,0.1338093218050505,6080,1,N
TRSD,30,deepmath:003dd754a0b261d696d349dddb4a34ef7d50972c4201891c23ff46d4ef00bede,003dd754a0b261d696d349dddb4a34ef7d50972c4201891c23ff46d4ef00bede,0.11027929098672855,10109,1,6\pi
TRSD,31,deepmath:003e4e800a59d605dcd72b1719d992d346b01b6e895f6a92a7b12f39b58aaaa1,003e4e800a59d605dcd72b1719d992d346b01b6e895f6a92a7b12f39b58aaaa1,0.115962975803053,8677,0,\text{No}
TRSD,32,deepmath:003f11a5f8ee77c15cb77c3af9f2a4a07b00c80d0646b49748e70794c6d00e00,003f11a5f8ee77c15cb77c3af9f2a4a07b00c80d0646b49748e70794c6d00e00,0.17455358330311543,1799,1,Yes
TRSD,33,deepmath:0042ff3872891ac71b4a7bf6a9e70c583bb12a3253c423f3b438d1ce982fd773,0042ff3872891ac71b4a7bf6a9e70c583bb12a3253c423f3b438d1ce982fd773,0.11036207255992023,2816,1,Yes
TRSD,34,deepmath:00465b0dba3ed87e4b7c8e6a307870f90d33588ebf9e5928f0b570bdaf1e2a96,00465b0dba3ed87e4b7c8e6a307870f90d33588ebf9e5928f0b570bdaf1e2a96,0.08087393333985245,10109,0,
TRSD,35,deepmath:00483c5e025c9dff3522155103e5ac71456db89cf7720691de75cdaeff69e3cc,00483c5e025c9dff3522155103e5ac71456db89cf7720691de75cdaeff69e3cc,0.09726306845819824,5272,1,2
TRSD,36,deepmath:004cad66393fc699153db15fa50b9068d07fb36707ae0e10a5acc9827a78cd55,004cad66393fc699153db15fa50b9068d07fb36707ae0e10a5acc9827a78cd55,0.08608243648233493,9964,0,
TRSD,37,deepmath:004fbec5f3d0f4836287dc846f18743dc62e33181d7743963994345dfc05d580,004fbec5f3d0f4836287dc846f18743dc62e33181d7743963994345dfc05d580,0.08330869451235026,4268,1,\dfrac{\pi}{4}
TRSD,38,deepmath:005a74061981d1174955f0d339217a910c724ac259267990b75a859417309ba5,005a74061981d1174955f0d339217a910c724ac259267990b75a859417309ba5,0.10528369471526668,7770,1,no
TRSD,39,deepmath:005a8826414aec0cdf8fdb68a2c9759982ac52715514f8930b08d67176e76b8a,005a8826414aec0cdf8fdb68a2c9759982ac52715514f8930b08d67176e76b8a,0.09192139214351176,6371,1,1
TRSD,40,deepmath:005ef7c198b0f12d759d3c44022c5b9b6835885d9adedf3299a5a841dfa37606,005ef7c198b0f12d759d3c44022c5b9b6835885d9adedf3299a5a841dfa37606,0.11948974778217565,7998,1,21
TRSD,41,deepmath:005fcaa3cd5ce509ada79200159f2963f75cce3f4b342e909dcce691603f6363,005fcaa3cd5ce509ada79200159f2963f75cce3f4b342e909dcce691603f6363,0.11047533520977221,10116,0,
TRSD,42,deepmath:005ff290fdf393d59a5b8d4290edb9fc45fd31cbc060c53fe670a49e1a707207,005ff290fdf393d59a5b8d4290edb9fc45fd31cbc060c53fe670a49e1a707207,0.11372384945637844,8289,1,4
TRSD,43,deepmath:006019d0d8727759a668b590d4d18310ef26f000198fc45615c8344f1836bc4c,006019d0d8727759a668b590d4d18310ef26f000198fc45615c8344f1836bc4c,0.10461850248656784,9382,1,0
TRSD,44,deepmath:0062d8df17cfc213a76d55cf9f0fcc49bf35eb2f8d4e3ef22a079fc8050263b5,0062d8df17cfc213a76d55cf9f0fcc49bf35eb2f8d4e3ef22a079fc8050263b5,0.08168770941385782,3984,1,"(0, 3)"
TRSD,45,deepmath:006a6296970c739aec0280d9a66a4cea45836909b1d98923d278f9d94eb62692,006a6296970c739aec0280d9a66a4cea45836909b1d98923d278f9d94eb62692,0.12635105510495467,2082,1,\text{False}
TRSD,46,deepmath:006aa68dbaf5b654ad3071979c89dfa8a1b353843094321f7bbcd771349e6303,006aa68dbaf5b654ad3071979c89dfa8a1b353843094321f7bbcd771349e6303,0.11890367190831944,10075,0,
TRSD,47,deepmath:006c20fbdd524d08de9e89f371a1028b99a786d0f46aa240fbc25f4ffb877deb,006c20fbdd524d08de9e89f371a1028b99a786d0f46aa240fbc25f4ffb877deb,0.15710347212169726,3390,1,1
TRSD,48,deepmath:006dc7e74a6c3850528e77c89f42357031e793700d0f5f4758cdbb3cc38bfce7,006dc7e74a6c3850528e77c89f42357031e793700d0f5f4758cdbb3cc38bfce7,0.08955085576912082,6491,1,0
TRSD,49,deepmath:006ee740e3abf3acfb855487b476f329ba01c7f442dcea89e1b62c1a84b2f82b,006ee740e3abf3acfb855487b476f329ba01c7f442dcea89e1b62c1a84b2f82b,0.09656939591298291,6019,1,\text{Yes}
TRSD,50,deepmath:0072530d36b2fe8963e61adb9abcf872fe99ac784e35ebdb7d493a9c9ddc8c73,0072530d36b2fe8963e61adb9abcf872fe99ac784e35ebdb7d493a9c9ddc8c73,0.17147636173656153,4770,1,0
TRSD,51,deepmath:0072a410ec2ad19dff87ce7c3854f83df91a11de998171c990d6ca603379c276,0072a410ec2ad19dff87ce7c3854f83df91a11de998171c990d6ca603379c276,0.11314684791076411,10073,0,\dfrac{8}{\pi}
TRSD,52,deepmath:00757aaaa1947c28b2354d393d3d6b3997eedb797aaa9adb240d92236e4e5cbd,00757aaaa1947c28b2354d393d3d6b3997eedb797aaa9adb240d92236e4e5cbd,0.09605919316856314,10106,0,
TRSD,53,deepmath:007584128ece78d87b2918b9c9a40bf6440654fd04dbc074f4cee50f83651029,007584128ece78d87b2918b9c9a40bf6440654fd04dbc074f4cee50f83651029,0.10533807919994337,1314,1,\text{Yes}
TRSD,54,deepmath:00765d46d60d516368b3882f1790d110b557b285c44e4de4bc77151a88178d01,00765d46d60d516368b3882f1790d110b557b285c44e4de4bc77151a88178d01,0.10769360554749405,10033,0,
TRSD,55,deepmath:0076d82cd80345e2fef2aa0e8075b95dc5aa7fc14bfd5309ea5a9e82b0c997de,0076d82cd80345e2fef2aa0e8075b95dc5aa7fc14bfd5309ea5a9e82b0c997de,0.08455304371026998,4857,1,e^{-z}
TRSD,56,deepmath:0078489488852fcf62ea236485cfb162411bdbaa4dfa7917c982e26b6f956d74,0078489488852fcf62ea236485cfb162411bdbaa4dfa7917c982e26b6f956d74,0.08448425068921615,3235,1,2
TRSD,57,deepmath:00792ef532c63549590ae6ba78dbff2fd1b98206fb3b7db8a0481c3e4dc68005,00792ef532c63549590ae6ba78dbff2fd1b98206fb3b7db8a0481c3e4dc68005,0.14749072911327893,4653,1,\text{Yes}
