mode,training_condition,training_seed,decoding_seed,method,episode,correct,total,strict_accuracy_pct,scored_sha256
thinking,thinking_seed2,1266198024,20260820,LGSD,48,92,143,64.33566433566433,5fb99ddd6a1c2b68d8c45a05e6ff766c885f2534b7252e7518b6bfef1b59c1b5
thinking,thinking_seed2,1266198024,20260820,LGSD,64,99,143,69.23076923076923,f718e3c3249e4a260c29f5ab416a80534fd5cb65aee5e15ed932c43ea1c383b9
non-thinking,nothinking_seed0,0,20260820,OPSD,0,63,143,44.05594405594405,7740ce6160e8a438fe2a8e13bb030edebf320e6a286bc770414d1310064df2a8
non-thinking,nothinking_seed0,0,20260820,OPSD,16,67,143,46.85314685314685,af00f15bc9da1d51d3ecd3e1fec298f05b9986db769f10de098bf7c3aa941671
non-thinking,nothinking_seed0,0,20260820,OPSD,32,66,143,46.15384615384615,620a66553283d6a3c96a8163c26f3a0c16998f38805ccb1c172558544ffbd5d1
non-thinking,nothinking_seed0,0,20260820,OPSD,48,54,143,37.76223776223776,96414e2655ff8ad84ac06d78bf2ac20ff73b0c9b769f8d8b8632aaa5ce37dbee
non-thinking,nothinking_seed0,0,20260820,OPSD,64,35,143,24.475524475524477,ebeffdf6662be8694b7e6d256a026d035579c0baaf8a3eef9ec6eb055bffe9af
non-thinking,nothinking_seed0,0,20260820,LGSD,0,60,143,41.95804195804196,409c4b62c3fc0baa6805b6b6f8fb96fff0165731cdaf89a275027b0c3d9b9319
non-thinking,nothinking_seed0,0,20260820,LGSD,16,65,143,45.45454545454545,5e5216166a64595d34695185e75c8e85d5eac11858a03b7ac4906b6ec2bcaac0
non-thinking,nothinking_seed0,0,20260820,LGSD,32,62,143,43.35664335664335,118ddaf406d12608752a9b4cd621fc09ba06a61c76d7a8b3c820fa9a19db6ae0
non-thinking,nothinking_seed0,0,20260820,LGSD,48,54,143,37.76223776223776,79391bb48b8dac63a32bf63e13d132ab983713b45254f57996423a1258bcc434
non-thinking,nothinking_seed0,0,20260820,LGSD,64,24,143,16.783216783216783,7201d09a74ed9c73c537b96404660a5dd770419c019568028b23c56dd4dbc1d1
