method,target_kind,episode,query_id,problem_sha256,entropy_proxy_nats_per_token,response_tokens,reward,target_kl,style_drift,style_error_sum,style_token_count,projection_alpha
TRSD (adaptive trajectory),projected,11,deepmath:0019d522f65921ae7716a06a3640a9dd001b2cc37cb81d918f42a17df2e56d08,0019d522f65921ae7716a06a3640a9dd001b2cc37cb81d918f42a17df2e56d08,0.1872703951783339,6693,1,0.003981369454594545,0.05659530066341334,9.790987014770508,173,0.5625
TRSD (adaptive trajectory),projected,12,deepmath:001ad0c6d02140cf28c798e3f7ae71bbd9e725fa3d997a64f91ffda63abfae6f,001ad0c6d02140cf28c798e3f7ae71bbd9e725fa3d997a64f91ffda63abfae6f,0.19442344478638326,6001,1,0.003956325814671723,0.06135785502772177,9.510467529296875,155,0.53125
TRSD (adaptive trajectory),projected,13,deepmath:001c5b850b4838e15526cabbcaefcfface733f398c58069d733ab43514528437,001c5b850b4838e15526cabbcaefcfface733f398c58069d733ab43514528437,0.19294324060747312,3793,1,0.0037590855339209575,0.04623163046957064,5.501564025878906,119,0.4375
TRSD (adaptive trajectory),projected,14,deepmath:002077dd6c1ff0e84014b2317f2afa082d05bd30adb11e1c285ac97102b453b2,002077dd6c1ff0e84014b2317f2afa082d05bd30adb11e1c285ac97102b453b2,0.19851329794770392,10089,0,0.0038910183096643315,0.07700030933726917,21.175085067749023,275,0.546875
TRSD (adaptive trajectory),projected,15,deepmath:0021b0ab1a3d40bbda1f867883fcc2b471e8004bb1ceef94ae4d945a04331051,0021b0ab1a3d40bbda1f867883fcc2b471e8004bb1ceef94ae4d945a04331051,0.20591186704916142,9417,1,0.0039837004799719,0.09214439648109794,13.729515075683594,149,0.5625
TRSD (adaptive trajectory),projected,16,deepmath:002231f1b4a81d1c3cd79b293ba11d6b0932a0a289f012ae4c37e53cceb8085e,002231f1b4a81d1c3cd79b293ba11d6b0932a0a289f012ae4c37e53cceb8085e,0.17283869851408237,8084,1,0.0038762474268995584,0.05735091745418354,15.714151382446289,274,0.59375
TRSD (adaptive trajectory),projected,17,deepmath:0023b171598bb9951d85c97138dffaa339dd71e418de52289f17b1c2accb2bf7,0023b171598bb9951d85c97138dffaa339dd71e418de52289f17b1c2accb2bf7,0.13024201483364137,10093,0,0.003911417710300387,0.0816055623496451,13.383312225341797,164,0.890625
TRSD (adaptive trajectory),projected,18,deepmath:0024f2386f12d2ffd829ce0edb4b52255c884198a0ab4512921b16a489ef0e33,0024f2386f12d2ffd829ce0edb4b52255c884198a0ab4512921b16a489ef0e33,0.15248012599166175,10138,0,0.003929373711379917,0.05458398356390158,16.429779052734375,301,0.53125
TRSD (adaptive trajectory),projected,19,deepmath:0024f4e3c836265ce9de50bc1570408221a74b8c963e77c81a3a6638cd12eb9a,0024f4e3c836265ce9de50bc1570408221a74b8c963e77c81a3a6638cd12eb9a,0.15021970305824206,2613,1,0.0037437271924851225,0.0433318122984871,2.7299041748046875,63,0.328125
TRSD (adaptive trajectory),projected,20,deepmath:00256fe2b7cb245266e332d3cea7caae53d541c5529ab9c8a7bdc11a67e7cbbc,00256fe2b7cb245266e332d3cea7caae53d541c5529ab9c8a7bdc11a67e7cbbc,0.1561867829313342,6141,1,0.00398198578508528,0.10734087845374798,12.451541900634766,116,0.65625
TRSD (adaptive trajectory),projected,21,deepmath:0025b8fa07fb4804df8b60a33ac0e754a500755c86cd42f4523c68c5448a39bd,0025b8fa07fb4804df8b60a33ac0e754a500755c86cd42f4523c68c5448a39bd,0.14440378661135986,3386,1,0.00392463206375712,0.05582110087076823,4.856435775756836,87,0.53125
TRSD (adaptive trajectory),projected,22,deepmath:00305fc24c2fc85f439eef8ee27e2438a61faa8c730626b33cc2cd77e98ce7e3,00305fc24c2fc85f439eef8ee27e2438a61faa8c730626b33cc2cd77e98ce7e3,0.11236087058807587,5720,1,0.003919527602342928,0.06098404297461876,6.342340469360352,104,0.671875
TRSD (adaptive trajectory),projected,23,deepmath:003067ef78fc841f6ac3c3129143429ceb0f761eb3f4a1c23939abdc0e7ac9b4,003067ef78fc841f6ac3c3129143429ceb0f761eb3f4a1c23939abdc0e7ac9b4,0.10393128045209278,4334,1,0.003801625829669645,0.0748280256222456,5.836585998535156,78,0.515625
TRSD (adaptive trajectory),projected,24,deepmath:0030a39029723cf4d2824fd7ff62334d027102bd1ba42320b18e529b88b130f9,0030a39029723cf4d2824fd7ff62334d027102bd1ba42320b18e529b88b130f9,0.09387601732217689,4094,1,0.003931900211548479,0.05405290159460616,3.94586181640625,73,0.734375
TRSD (adaptive trajectory),projected,25,deepmath:0032318139255abd2fb48e206ecc904b66dc536f2614324133a848ca0b62703a,0032318139255abd2fb48e206ecc904b66dc536f2614324133a848ca0b62703a,0.1127238217545264,9694,1,0.003808351907971242,0.08936609540666852,21.26913070678711,238,0.59375
TRSD (adaptive trajectory),projected,26,deepmath:003412a3995cee9376a190a014939f06674cd6a6d7b35c1a7522a50b973e57ac,003412a3995cee9376a190a014939f06674cd6a6d7b35c1a7522a50b973e57ac,0.1343809142885472,10120,0,0.003994443287292921,0.09247254488760964,21.083740234375,228,0.484375
TRSD (adaptive trajectory),projected,27,deepmath:003830d329c5036826b544eb05a5af80dbd2a359aac850da0dcacfeb6716cafe,003830d329c5036826b544eb05a5af80dbd2a359aac850da0dcacfeb6716cafe,0.10183845476311028,10124,0,0.0038408770443778156,0.09124499391027763,16.15036392211914,177,0.6875
TRSD (adaptive trajectory),projected,28,deepmath:0038b4ece49376da9b176b48022b326becfa6d8b990467ff138402e37539558d,0038b4ece49376da9b176b48022b326becfa6d8b990467ff138402e37539558d,0.09794025179706042,10112,0,0.00396685804404529,0.10850653356435347,15.950460433959961,147,0.828125
TRSD (adaptive trajectory),projected,29,deepmath:003dcaad84f5c21a1487c54b23209c79a90072273df7a29e35dd63845b52107f,003dcaad84f5c21a1487c54b23209c79a90072273df7a29e35dd63845b52107f,0.1338093218050505,6080,1,0.003913281648419797,0.07264672725572499,7.918493270874023,109,0.484375
TRSD (adaptive trajectory),projected,30,deepmath:003dd754a0b261d696d349dddb4a34ef7d50972c4201891c23ff46d4ef00bede,003dd754a0b261d696d349dddb4a34ef7d50972c4201891c23ff46d4ef00bede,0.11027929098672855,10109,1,0.0038326328414131994,0.08611238169115643,18.514162063598633,215,0.625
TRSD (adaptive trajectory),projected,31,deepmath:003e4e800a59d605dcd72b1719d992d346b01b6e895f6a92a7b12f39b58aaaa1,003e4e800a59d605dcd72b1719d992d346b01b6e895f6a92a7b12f39b58aaaa1,0.115962975803053,8677,0,0.003952374121341011,0.07837182122307855,14.498786926269531,185,0.5625
TRSD (adaptive trajectory),projected,32,deepmath:003f11a5f8ee77c15cb77c3af9f2a4a07b00c80d0646b49748e70794c6d00e00,003f11a5f8ee77c15cb77c3af9f2a4a07b00c80d0646b49748e70794c6d00e00,0.17455358330311543,1799,1,0.003930618239154733,0.06537543402777778,1.76513671875,27,0.265625
TRSD (adaptive trajectory),projected,33,deepmath:0042ff3872891ac71b4a7bf6a9e70c583bb12a3253c423f3b438d1ce982fd773,0042ff3872891ac71b4a7bf6a9e70c583bb12a3253c423f3b438d1ce982fd773,0.11036207255992023,2816,1,0.003936902087430512,0.03856297334035238,1.851022720336914,48,0.46875
TRSD (adaptive trajectory),projected,34,deepmath:00465b0dba3ed87e4b7c8e6a307870f90d33588ebf9e5928f0b570bdaf1e2a96,00465b0dba3ed87e4b7c8e6a307870f90d33588ebf9e5928f0b570bdaf1e2a96,0.08087393333985245,10109,0,0.0038606478672451408,0.07105540501252386,9.308258056640625,131,0.84375
TRSD (adaptive trajectory),projected,35,deepmath:00483c5e025c9dff3522155103e5ac71456db89cf7720691de75cdaeff69e3cc,00483c5e025c9dff3522155103e5ac71456db89cf7720691de75cdaeff69e3cc,0.09726306845819824,5272,1,0.0038343256014651494,0.06644418924161703,6.71086311340332,101,0.5625
TRSD (adaptive trajectory),projected,36,deepmath:004cad66393fc699153db15fa50b9068d07fb36707ae0e10a5acc9827a78cd55,004cad66393fc699153db15fa50b9068d07fb36707ae0e10a5acc9827a78cd55,0.08608243648233493,9964,0,0.0038872120830158257,0.11855545043945312,8.891658782958984,75,0.625
TRSD (adaptive trajectory),projected,37,deepmath:004fbec5f3d0f4836287dc846f18743dc62e33181d7743963994345dfc05d580,004fbec5f3d0f4836287dc846f18743dc62e33181d7743963994345dfc05d580,0.08330869451235026,4268,1,0.003918120515774569,0.049124648605567825,3.3896007537841797,69,0.609375
TRSD (adaptive trajectory),projected,38,deepmath:005a74061981d1174955f0d339217a910c724ac259267990b75a859417309ba5,005a74061981d1174955f0d339217a910c724ac259267990b75a859417309ba5,0.10528369471526668,7770,1,0.003798965250107159,0.08272932301396908,9.513872146606445,115,0.5
TRSD (adaptive trajectory),projected,39,deepmath:005a8826414aec0cdf8fdb68a2c9759982ac52715514f8930b08d67176e76b8a,005a8826414aec0cdf8fdb68a2c9759982ac52715514f8930b08d67176e76b8a,0.09192139214351176,6371,1,0.003862659649648915,0.10367208657805453,10.056192398071289,97,0.53125
TRSD (adaptive trajectory),projected,40,deepmath:005ef7c198b0f12d759d3c44022c5b9b6835885d9adedf3299a5a841dfa37606,005ef7c198b0f12d759d3c44022c5b9b6835885d9adedf3299a5a841dfa37606,0.11948974778217565,7998,1,0.003985705133830273,0.07855715942382813,9.819644927978516,125,0.5625
TRSD (adaptive trajectory),projected,41,deepmath:005fcaa3cd5ce509ada79200159f2963f75cce3f4b342e909dcce691603f6363,005fcaa3cd5ce509ada79200159f2963f75cce3f4b342e909dcce691603f6363,0.11047533520977221,10116,0,0.003910048127899107,0.08444483139935662,12.920059204101562,153,0.578125
TRSD (adaptive trajectory),projected,42,deepmath:005ff290fdf393d59a5b8d4290edb9fc45fd31cbc060c53fe670a49e1a707207,005ff290fdf393d59a5b8d4290edb9fc45fd31cbc060c53fe670a49e1a707207,0.11372384945637844,8289,1,0.0039121322482685,0.11356406255599556,12.378482818603516,109,0.703125
TRSD (adaptive trajectory),projected,43,deepmath:006019d0d8727759a668b590d4d18310ef26f000198fc45615c8344f1836bc4c,006019d0d8727759a668b590d4d18310ef26f000198fc45615c8344f1836bc4c,0.10461850248656784,9382,1,0.003956494188109705,0.0717302958170573,9.898780822753906,138,0.6875
TRSD (adaptive trajectory),projected,44,deepmath:0062d8df17cfc213a76d55cf9f0fcc49bf35eb2f8d4e3ef22a079fc8050263b5,0062d8df17cfc213a76d55cf9f0fcc49bf35eb2f8d4e3ef22a079fc8050263b5,0.08168770941385782,3984,1,0.003859795507002808,0.05969792825204355,3.2236881256103516,54,0.578125
TRSD (adaptive trajectory),projected,45,deepmath:006a6296970c739aec0280d9a66a4cea45836909b1d98923d278f9d94eb62692,006a6296970c739aec0280d9a66a4cea45836909b1d98923d278f9d94eb62692,0.12635105510495467,2082,1,0.0038621597221044253,0.05025060126122008,2.3617782592773438,47,0.40625
TRSD (adaptive trajectory),projected,46,deepmath:006aa68dbaf5b654ad3071979c89dfa8a1b353843094321f7bbcd771349e6303,006aa68dbaf5b654ad3071979c89dfa8a1b353843094321f7bbcd771349e6303,0.11890367190831944,10075,0,0.0037937408497108714,0.10483962199727043,12.790433883666992,122,0.5
TRSD (adaptive trajectory),projected,47,deepmath:006c20fbdd524d08de9e89f371a1028b99a786d0f46aa240fbc25f4ffb877deb,006c20fbdd524d08de9e89f371a1028b99a786d0f46aa240fbc25f4ffb877deb,0.15710347212169726,3390,1,0.00371832793666418,0.08301359920178429,4.897802352905273,59,0.34375
TRSD (adaptive trajectory),projected,48,deepmath:006dc7e74a6c3850528e77c89f42357031e793700d0f5f4758cdbb3cc38bfce7,006dc7e74a6c3850528e77c89f42357031e793700d0f5f4758cdbb3cc38bfce7,0.08955085576912082,6491,1,0.003954076811647152,0.09177713923984104,6.607954025268555,72,0.625
TRSD (adaptive trajectory),projected,49,deepmath:006ee740e3abf3acfb855487b476f329ba01c7f442dcea89e1b62c1a84b2f82b,006ee740e3abf3acfb855487b476f329ba01c7f442dcea89e1b62c1a84b2f82b,0.09656939591298291,6019,1,0.003826226666872866,0.07879168898970992,8.509502410888672,108,0.515625
TRSD (adaptive trajectory),projected,50,deepmath:0072530d36b2fe8963e61adb9abcf872fe99ac784e35ebdb7d493a9c9ddc8c73,0072530d36b2fe8963e61adb9abcf872fe99ac784e35ebdb7d493a9c9ddc8c73,0.17147636173656153,4770,1,0.003922869261174582,0.08617110874341882,7.927742004394531,92,0.5
TRSD (adaptive trajectory),projected,51,deepmath:0072a410ec2ad19dff87ce7c3854f83df91a11de998171c990d6ca603379c276,0072a410ec2ad19dff87ce7c3854f83df91a11de998171c990d6ca603379c276,0.11314684791076411,10073,0,0.003911907441161848,0.10203822197452668,25.305479049682617,248,0.59375
TRSD (adaptive trajectory),projected,52,deepmath:00757aaaa1947c28b2354d393d3d6b3997eedb797aaa9adb240d92236e4e5cbd,00757aaaa1947c28b2354d393d3d6b3997eedb797aaa9adb240d92236e4e5cbd,0.09605919316856314,10106,0,0.0038303264551750402,0.10891145691835791,14.485223770141602,133,0.609375
TRSD (adaptive trajectory),projected,53,deepmath:007584128ece78d87b2918b9c9a40bf6440654fd04dbc074f4cee50f83651029,007584128ece78d87b2918b9c9a40bf6440654fd04dbc074f4cee50f83651029,0.10533807919994337,1314,1,0.0036739791088554684,0.06641864776611328,0.6641864776611328,10,0.34375
TRSD (adaptive trajectory),projected,54,deepmath:00765d46d60d516368b3882f1790d110b557b285c44e4de4bc77151a88178d01,00765d46d60d516368b3882f1790d110b557b285c44e4de4bc77151a88178d01,0.10769360554749405,10033,0,0.003927125999581288,0.0874929428100586,9.099266052246094,104,0.578125
TRSD (adaptive trajectory),projected,55,deepmath:0076d82cd80345e2fef2aa0e8075b95dc5aa7fc14bfd5309ea5a9e82b0c997de,0076d82cd80345e2fef2aa0e8075b95dc5aa7fc14bfd5309ea5a9e82b0c997de,0.08455304371026998,4857,1,0.0038076696584922725,0.09791374206542969,4.504032135009766,46,0.546875
TRSD (adaptive trajectory),projected,56,deepmath:0078489488852fcf62ea236485cfb162411bdbaa4dfa7917c982e26b6f956d74,0078489488852fcf62ea236485cfb162411bdbaa4dfa7917c982e26b6f956d74,0.08448425068921615,3235,1,0.0037709207895861067,0.039662679036458336,1.4278564453125,36,0.453125
TRSD (adaptive trajectory),projected,57,deepmath:00792ef532c63549590ae6ba78dbff2fd1b98206fb3b7db8a0481c3e4dc68005,00792ef532c63549590ae6ba78dbff2fd1b98206fb3b7db8a0481c3e4dc68005,0.14749072911327893,4653,1,0.0037544242414817384,0.06480961311154249,5.314388275146484,82,0.46875
TRSD (adaptive trajectory),projected,58,deepmath:007bd5213ed53954fc9cea10022b7c2eeedd93a590a6b87867dd71396df24547,007bd5213ed53954fc9cea10022b7c2eeedd93a590a6b87867dd71396df24547,0.02796605596779384,10099,0,0.0037293342234602047,0.08809852600097656,0.7047882080078125,8,1.0
TRSD (adaptive trajectory),projected,59,deepmath:007ebc494c1ba6694022a6ae814c36264169fc2670594568135ed0ecbceb69e6,007ebc494c1ba6694022a6ae814c36264169fc2670594568135ed0ecbceb69e6,0.12565840937341244,2845,0,0.0038807138473266876,0.05998831209929093,2.759462356567383,46,0.515625
TRSD (adaptive trajectory),projected,60,deepmath:007f22293e9b6868f90b4c24378641097b6637f2d463c8c3e69540a9a12d779d,007f22293e9b6868f90b4c24378641097b6637f2d463c8c3e69540a9a12d779d,0.1653096479460624,4989,0,0.0039021307873203796,0.04426926506890191,3.984233856201172,90,0.40625
TRSD (adaptive trajectory),projected,61,deepmath:0081b6f03c24a7151ca8a2b8dbbd8b75f6227f8068a3c43d88a3e7227583aa8c,0081b6f03c24a7151ca8a2b8dbbd8b75f6227f8068a3c43d88a3e7227583aa8c,0.1751800276227525,3407,1,0.003790677014748162,0.05372005462646484,2.686002731323242,50,0.4375
TRSD (adaptive trajectory),projected,62,deepmath:0086c010b9d632e4f89d32600eb4f1403cb9e9e260fcaf3d01d216fae135540f,0086c010b9d632e4f89d32600eb4f1403cb9e9e260fcaf3d01d216fae135540f,0.14429421580384752,3618,1,0.0038874238101902457,0.06008807095614346,2.6438751220703125,44,0.640625
TRSD (adaptive trajectory),projected,63,deepmath:0087f799089ae3e7e95c866954aaf8445958600cfd429f972e0229473c455471,0087f799089ae3e7e95c866954aaf8445958600cfd429f972e0229473c455471,0.08602244568407054,2847,1,0.003920905062722646,0.1020652453104655,2.449565887451172,24,0.484375
TRSD (adaptive trajectory),projected,64,deepmath:008bf863b4040bc64f4359e5b0b35ddec9723395cfa59765a88a066679c8357b,008bf863b4040bc64f4359e5b0b35ddec9723395cfa59765a88a066679c8357b,0.0775835848598013,1796,1,0.0038102801190689206,0.036484612358940974,0.6567230224609375,18,0.4375
Tokenwise budget $\alpha_t$,projected,1,deepmath:000396a98596544c4efcf7920bd3593967798c51453c9b87fd9fce5e5671dff9,000396a98596544c4efcf7920bd3593967798c51453c9b87fd9fce5e5671dff9,0.1993126638305314,5927,1,0.001677093595914984,0.038867513642056296,5.091644287109375,131,0.7569886445999146
Tokenwise budget $\alpha_t$,projected,2,deepmath:0004c6dd393a6e2adcaa8b18b7e87d3f2bb7f3e51d739c2a5c4295824af67be0,0004c6dd393a6e2adcaa8b18b7e87d3f2bb7f3e51d739c2a5c4295824af67be0,0.11524226325841036,5784,1,0.0009934971818956772,0.03507941109793527,2.7011146545410156,77,0.8950310349464417
Tokenwise budget $\alpha_t$,projected,3,deepmath:00080e19a89caf5e89e3c03f2ed4e42a14af9cbba3ffb24665ce6b7e71498f8e,00080e19a89caf5e89e3c03f2ed4e42a14af9cbba3ffb24665ce6b7e71498f8e,0.15207793119734606,8851,1,0.0010324956023432807,0.040945970375119274,5.363922119140625,131,0.9098248481750488
Tokenwise budget $\alpha_t$,projected,4,deepmath:0009caf591ccc2b1ced8c9237dc60901c08b60814fbf5bdb5c140c9440499f38,0009caf591ccc2b1ced8c9237dc60901c08b60814fbf5bdb5c140c9440499f38,0.22574203501795767,10091,0,0.0019812416364647875,0.03672046735019757,9.510601043701172,259,0.7632745504379272
Tokenwise budget $\alpha_t$,projected,5,deepmath:000bec85574983ccd7fa789e3004278a170c434e5fed0c2670a2675e45795fd0,000bec85574983ccd7fa789e3004278a170c434e5fed0c2670a2675e45795fd0,0.12785370018052195,10102,0,0.0011293114542996522,0.03743183079050548,5.015865325927734,134,0.876497209072113
Tokenwise budget $\alpha_t$,projected,6,deepmath:000ce126a7cd12f004824d5218ae1bd505e3b61f8ca9acf5a135cd5649457bad,000ce126a7cd12f004824d5218ae1bd505e3b61f8ca9acf5a135cd5649457bad,0.21476168642218876,3928,1,0.0019116275232520462,0.03528335991255734,3.84588623046875,109,0.7198320031166077
Tokenwise budget $\alpha_t$,projected,7,deepmath:0010c2479ec729a3849fb9597d860ccbe10c6b5fdedb63084ef3a2f9aa00899c,0010c2479ec729a3849fb9597d860ccbe10c6b5fdedb63084ef3a2f9aa00899c,0.22593890473433617,10038,0,0.0019136017615587547,0.0481514036655426,6.163379669189453,128,0.7817932367324829
Tokenwise budget $\alpha_t$,projected,8,deepmath:00110ba1c0fc2813cfb009f0fd0c8464282dec9f8c4bcb7a75baef9477efaca2,00110ba1c0fc2813cfb009f0fd0c8464282dec9f8c4bcb7a75baef9477efaca2,0.1527526006204952,6549,0,0.0013873689709969887,0.040255004553486115,5.59544563293457,139,0.8189585208892822
Tokenwise budget $\alpha_t$,projected,9,deepmath:00113db063e1c3e78d585294481d46b878a50973b15386daabb17d70997a9641,00113db063e1c3e78d585294481d46b878a50973b15386daabb17d70997a9641,0.21185751520382112,5885,1,0.001835930004348771,0.034834565787479795,3.030607223510742,87,0.7692809700965881
Tokenwise budget $\alpha_t$,projected,10,deepmath:0017bfb4db362431d2d67e122109b658e0ae133af418c50d20d309d5e6cbee4e,0017bfb4db362431d2d67e122109b658e0ae133af418c50d20d309d5e6cbee4e,0.20605869093873636,7559,1,0.0017840116494732578,0.033656954765319824,6.462135314941406,192,0.7884454727172852
Tokenwise budget $\alpha_t$,projected,11,deepmath:0019d522f65921ae7716a06a3640a9dd001b2cc37cb81d918f42a17df2e56d08,0019d522f65921ae7716a06a3640a9dd001b2cc37cb81d918f42a17df2e56d08,0.18674354922970587,4849,1,0.0014044257074096666,0.036473787747896634,3.79327392578125,104,0.8320239782333374
Tokenwise budget $\alpha_t$,projected,12,deepmath:001ad0c6d02140cf28c798e3f7ae71bbd9e725fa3d997a64f91ffda63abfae6f,001ad0c6d02140cf28c798e3f7ae71bbd9e725fa3d997a64f91ffda63abfae6f,0.15224303992102906,10130,0,0.0013837196248668998,0.042676868723399604,5.718700408935547,134,0.8507974743843079
Tokenwise budget $\alpha_t$,projected,13,deepmath:001c5b850b4838e15526cabbcaefcfface733f398c58069d733ab43514528437,001c5b850b4838e15526cabbcaefcfface733f398c58069d733ab43514528437,0.18544796796377802,3231,1,0.0016708142112298338,0.036702728271484374,3.119731903076172,85,0.7765881419181824
Tokenwise budget $\alpha_t$,projected,14,deepmath:002077dd6c1ff0e84014b2317f2afa082d05bd30adb11e1c285ac97102b453b2,002077dd6c1ff0e84014b2317f2afa082d05bd30adb11e1c285ac97102b453b2,0.1965949704807995,10089,0,0.0017594716027312571,0.04254822786679992,10.934894561767578,257,0.7954114675521851
Tokenwise budget $\alpha_t$,projected,15,deepmath:0021b0ab1a3d40bbda1f867883fcc2b471e8004bb1ceef94ae4d945a04331051,0021b0ab1a3d40bbda1f867883fcc2b471e8004bb1ceef94ae4d945a04331051,0.17550973090374833,10062,1,0.0014284450351255975,0.038808587668598564,5.355585098266602,138,0.8491058349609375
Tokenwise budget $\alpha_t$,projected,16,deepmath:002231f1b4a81d1c3cd79b293ba11d6b0932a0a289f012ae4c37e53cceb8085e,002231f1b4a81d1c3cd79b293ba11d6b0932a0a289f012ae4c37e53cceb8085e,0.17710681238741685,7347,1,0.001534727802219984,0.026187205314636232,6.284929275512695,240,0.8286141157150269
Tokenwise budget $\alpha_t$,projected,17,deepmath:0023b171598bb9951d85c97138dffaa339dd71e418de52289f17b1c2accb2bf7,0023b171598bb9951d85c97138dffaa339dd71e418de52289f17b1c2accb2bf7,0.12460581020641337,10093,1,0.0009342214740561055,0.03908671304851235,6.5274810791015625,167,0.9182586669921875
Tokenwise budget $\alpha_t$,projected,18,deepmath:0024f2386f12d2ffd829ce0edb4b52255c884198a0ab4512921b16a489ef0e33,0024f2386f12d2ffd829ce0edb4b52255c884198a0ab4512921b16a489ef0e33,0.15508019543231877,8512,1,0.0013399685705010604,0.030267415084238126,7.687923431396484,254,0.8490495085716248
Tokenwise budget $\alpha_t$,projected,19,deepmath:0024f4e3c836265ce9de50bc1570408221a74b8c963e77c81a3a6638cd12eb9a,0024f4e3c836265ce9de50bc1570408221a74b8c963e77c81a3a6638cd12eb9a,0.1464845933734958,4044,1,0.0013917347104919653,0.033967113494873045,2.038026809692383,60,0.8258337378501892
Tokenwise budget $\alpha_t$,projected,20,deepmath:00256fe2b7cb245266e332d3cea7caae53d541c5529ab9c8a7bdc11a67e7cbbc,00256fe2b7cb245266e332d3cea7caae53d541c5529ab9c8a7bdc11a67e7cbbc,0.15782792390812955,7513,1,0.0012019426156166118,0.035111209538977915,4.459123611450195,127,0.8730617165565491
Tokenwise budget $\alpha_t$,projected,21,deepmath:0025b8fa07fb4804df8b60a33ac0e754a500755c86cd42f4523c68c5448a39bd,0025b8fa07fb4804df8b60a33ac0e754a500755c86cd42f4523c68c5448a39bd,0.14114837907331887,4826,1,0.0010951698425396123,0.03262068013675877,3.9797229766845703,122,0.8869631886482239
Tokenwise budget $\alpha_t$,projected,22,deepmath:00305fc24c2fc85f439eef8ee27e2438a61faa8c730626b33cc2cd77e98ce7e3,00305fc24c2fc85f439eef8ee27e2438a61faa8c730626b33cc2cd77e98ce7e3,0.10834165929226847,5956,1,0.0009425278168854656,0.0323110509801794,4.361991882324219,135,0.8964594602584839
Tokenwise budget $\alpha_t$,projected,23,deepmath:003067ef78fc841f6ac3c3129143429ceb0f761eb3f4a1c23939abdc0e7ac9b4,003067ef78fc841f6ac3c3129143429ceb0f761eb3f4a1c23939abdc0e7ac9b4,0.09587975360887467,4460,1,0.0009047667128943594,0.030093272527058918,2.166715621948242,72,0.8888487815856934
