episode,query_id,transition,privileged_reward,trsd_reward,raw_target_kl,trsd_target_kl,raw_style_drift,trsd_style_drift,trsd_projection_alpha
18,deepmath:0024f2386f12d2ffd829ce0edb4b52255c884198a0ab4512921b16a489ef0e33,W→W,0,0,0.0159893930904218,0.003929373711379917,0.09002634684244791,0.05458398356390158,0.53125
19,deepmath:0024f4e3c836265ce9de50bc1570408221a74b8c963e77c81a3a6638cd12eb9a,C→C,1,1,0.0344271956268245,0.0037437271924851225,0.15260732014973957,0.0433318122984871,0.328125
20,deepmath:00256fe2b7cb245266e332d3cea7caae53d541c5529ab9c8a7bdc11a67e7cbbc,W→C,0,1,0.010824788572790567,0.00398198578508528,0.11271686024136013,0.10734087845374798,0.65625
21,deepmath:0025b8fa07fb4804df8b60a33ac0e754a500755c86cd42f4523c68c5448a39bd,W→C,0,1,0.010875587759073824,0.00392463206375712,0.08311141967773437,0.05582110087076823,0.53125
22,deepmath:00305fc24c2fc85f439eef8ee27e2438a61faa8c730626b33cc2cd77e98ce7e3,C→C,1,1,0.011577029090517499,0.003919527602342928,0.1152721115305454,0.06098404297461876,0.671875
23,deepmath:003067ef78fc841f6ac3c3129143429ceb0f761eb3f4a1c23939abdc0e7ac9b4,C→C,1,1,0.014734650891631043,0.003801625829669645,0.1682058370338296,0.0748280256222456,0.515625
24,deepmath:0030a39029723cf4d2824fd7ff62334d027102bd1ba42320b18e529b88b130f9,W→C,0,1,0.006428292475902708,0.003931900211548479,0.08861823703931726,0.05405290159460616,0.734375
25,deepmath:0032318139255abd2fb48e206ecc904b66dc536f2614324133a848ca0b62703a,W→C,0,1,0.01586126933398191,0.003808351907971242,0.09869120671198918,0.08936609540666852,0.59375
26,deepmath:003412a3995cee9376a190a014939f06674cd6a6d7b35c1a7522a50b973e57ac,W→W,0,0,0.016762709215981886,0.003994443287292921,0.15050084825972437,0.09247254488760964,0.484375
27,deepmath:003830d329c5036826b544eb05a5af80dbd2a359aac850da0dcacfeb6716cafe,W→W,0,0,0.008514823603036348,0.0038408770443778156,0.1052453928980334,0.09124499391027763,0.6875
28,deepmath:0038b4ece49376da9b176b48022b326becfa6d8b990467ff138402e37539558d,W→W,0,0,0.005771825273768627,0.00396685804404529,0.09927729288736979,0.10850653356435347,0.828125
29,deepmath:003dcaad84f5c21a1487c54b23209c79a90072273df7a29e35dd63845b52107f,W→C,0,1,0.015490713303734083,0.003913281648419797,0.13561367732222362,0.07264672725572499,0.484375
30,deepmath:003dd754a0b261d696d349dddb4a34ef7d50972c4201891c23ff46d4ef00bede,W→C,0,1,0.012158499674114864,0.0038326328414131994,0.1768661874239562,0.08611238169115643,0.625
31,deepmath:003e4e800a59d605dcd72b1719d992d346b01b6e895f6a92a7b12f39b58aaaa1,W→W,0,0,0.011096451664343476,0.003952374121341011,0.1485607541840652,0.07837182122307855,0.5625
32,deepmath:003f11a5f8ee77c15cb77c3af9f2a4a07b00c80d0646b49748e70794c6d00e00,C→C,1,1,0.05362120441694148,0.003930618239154733,0.1975765843545237,0.06537543402777778,0.265625
33,deepmath:0042ff3872891ac71b4a7bf6a9e70c583bb12a3253c423f3b438d1ce982fd773,C→C,1,1,0.018642094230017392,0.003936902087430512,0.10282786051432291,0.03856297334035238,0.46875
34,deepmath:00465b0dba3ed87e4b7c8e6a307870f90d33588ebf9e5928f0b570bdaf1e2a96,W→W,0,0,0.007216088408313226,0.0038606478672451408,0.08026587963104248,0.07105540501252386,0.84375
35,deepmath:00483c5e025c9dff3522155103e5ac71456db89cf7720691de75cdaeff69e3cc,W→C,0,1,0.01355491709546186,0.0038343256014651494,0.16422323533046393,0.06644418924161703,0.5625
36,deepmath:004cad66393fc699153db15fa50b9068d07fb36707ae0e10a5acc9827a78cd55,W→W,0,0,0.013239993262686767,0.0038872120830158257,0.18554537636893137,0.11855545043945312,0.625
37,deepmath:004fbec5f3d0f4836287dc846f18743dc62e33181d7743963994345dfc05d580,C→C,1,1,0.011449849465861917,0.003918120515774569,0.10837328875506366,0.049124648605567825,0.609375
38,deepmath:005a74061981d1174955f0d339217a910c724ac259267990b75a859417309ba5,W→C,0,1,0.01594831742113456,0.003798965250107159,0.18450916677281476,0.08272932301396908,0.5
39,deepmath:005a8826414aec0cdf8fdb68a2c9759982ac52715514f8930b08d67176e76b8a,W→C,0,1,0.014921358771971427,0.003862659649648915,0.20290386493389423,0.10367208657805453,0.53125
40,deepmath:005ef7c198b0f12d759d3c44022c5b9b6835885d9adedf3299a5a841dfa37606,W→C,0,1,0.013418132803053595,0.003985705133830273,0.16751408127118955,0.07855715942382813,0.5625
41,deepmath:005fcaa3cd5ce509ada79200159f2963f75cce3f4b342e909dcce691603f6363,W→W,0,0,0.009784470435988624,0.003910048127899107,0.13344614664713542,0.08444483139935662,0.578125
42,deepmath:005ff290fdf393d59a5b8d4290edb9fc45fd31cbc060c53fe670a49e1a707207,W→C,0,1,0.00892898443271406,0.0039121322482685,0.11743869520213505,0.11356406255599556,0.703125
43,deepmath:006019d0d8727759a668b590d4d18310ef26f000198fc45615c8344f1836bc4c,W→C,0,1,0.009535998979117721,0.003956494188109705,0.12520145234607516,0.0717302958170573,0.6875
44,deepmath:0062d8df17cfc213a76d55cf9f0fcc49bf35eb2f8d4e3ef22a079fc8050263b5,C→C,1,1,0.012134301058235175,0.003859795507002808,0.11130629992875897,0.05969792825204355,0.578125
45,deepmath:006a6296970c739aec0280d9a66a4cea45836909b1d98923d278f9d94eb62692,C→C,1,1,0.017902167897773325,0.0038621597221044253,0.13431427695534445,0.05025060126122008,0.40625
46,deepmath:006aa68dbaf5b654ad3071979c89dfa8a1b353843094321f7bbcd771349e6303,W→W,0,0,0.016369495788239874,0.0037937408497108714,0.10412878148696002,0.10483962199727043,0.5
47,deepmath:006c20fbdd524d08de9e89f371a1028b99a786d0f46aa240fbc25f4ffb877deb,C→C,1,1,0.0287516576981994,0.00371832793666418,0.2088954085010593,0.08301359920178429,0.34375
48,deepmath:006dc7e74a6c3850528e77c89f42357031e793700d0f5f4758cdbb3cc38bfce7,W→C,0,1,0.008604331807873677,0.003954076811647152,0.08736489948473479,0.09177713923984104,0.625
49,deepmath:006ee740e3abf3acfb855487b476f329ba01c7f442dcea89e1b62c1a84b2f82b,W→C,0,1,0.011181198759004474,0.003826226666872866,0.2205444820343502,0.07879168898970992,0.515625
50,deepmath:0072530d36b2fe8963e61adb9abcf872fe99ac784e35ebdb7d493a9c9ddc8c73,W→C,0,1,0.0158346735406667,0.003922869261174582,0.1690715914187224,0.08617110874341882,0.5
51,deepmath:0072a410ec2ad19dff87ce7c3854f83df91a11de998171c990d6ca603379c276,W→W,0,0,0.009103229436732363,0.003911907441161848,0.09938849102367055,0.10203822197452668,0.59375
52,deepmath:00757aaaa1947c28b2354d393d3d6b3997eedb797aaa9adb240d92236e4e5cbd,W→W,0,0,0.011202477238839492,0.0038303264551750402,0.15687573750813802,0.10891145691835791,0.609375
53,deepmath:007584128ece78d87b2918b9c9a40bf6440654fd04dbc074f4cee50f83651029,C→C,1,1,0.03588681323872516,0.0036739791088554684,0.11641947428385417,0.06641864776611328,0.34375
54,deepmath:00765d46d60d516368b3882f1790d110b557b285c44e4de4bc77151a88178d01,W→W,0,0,0.010883902345085517,0.003927125999581288,0.1478930882045201,0.0874929428100586,0.578125
55,deepmath:0076d82cd80345e2fef2aa0e8075b95dc5aa7fc14bfd5309ea5a9e82b0c997de,C→C,1,1,0.013522757639293559,0.0038076696584922725,0.20465824060272753,0.09791374206542969,0.546875
56,deepmath:0078489488852fcf62ea236485cfb162411bdbaa4dfa7917c982e26b6f956d74,C→C,1,1,0.013173886944106608,0.0037709207895861067,0.11633160909016928,0.039662679036458336,0.453125
57,deepmath:00792ef532c63549590ae6ba78dbff2fd1b98206fb3b7db8a0481c3e4dc68005,W→C,0,1,0.015483215086964635,0.0037544242414817384,0.155848605292184,0.06480961311154249,0.46875
58,deepmath:007bd5213ed53954fc9cea10022b7c2eeedd93a590a6b87867dd71396df24547,W→W,0,0,0.014597930858144537,0.0037293342234602047,0.13795247077941894,0.08809852600097656,1.0
59,deepmath:007ebc494c1ba6694022a6ae814c36264169fc2670594568135ed0ecbceb69e6,W→W,0,0,0.012401726848480137,0.0038807138473266876,0.079438097336713,0.05998831209929093,0.515625
60,deepmath:007f22293e9b6868f90b4c24378641097b6637f2d463c8c3e69540a9a12d779d,W→W,0,0,0.02504268055781722,0.0039021307873203796,0.10357369316948785,0.04426926506890191,0.40625
61,deepmath:0081b6f03c24a7151ca8a2b8dbbd8b75f6227f8068a3c43d88a3e7227583aa8c,C→C,1,1,0.01813225956225528,0.003790677014748162,0.14433922878531522,0.05372005462646484,0.4375
62,deepmath:0086c010b9d632e4f89d32600eb4f1403cb9e9e260fcaf3d01d216fae135540f,W→C,0,1,0.00789861757948529,0.0038874238101902457,0.09396610941205706,0.06008807095614346,0.640625
63,deepmath:0087f799089ae3e7e95c866954aaf8445958600cfd429f972e0229473c455471,C→C,1,1,0.009212200507511106,0.003920905062722646,0.08548995971679688,0.1020652453104655,0.484375
64,deepmath:008bf863b4040bc64f4359e5b0b35ddec9723395cfa59765a88a066679c8357b,C→C,1,1,0.014061096097173023,0.0038102801190689206,0.10448051901424632,0.036484612358940974,0.4375
