method,training_step,optimizer_update,journal_episode,trajectory_microsteps,response_tokens,distill_token_chunk_size,teacher_student_reverse_kl,query_id
Privilege-SD,1149,37,37,32,4096,128,0.011449849465861917,deepmath:004fbec5f3d0f4836287dc846f18743dc62e33181d7743963994345dfc05d580
Privilege-SD,1181,38,38,32,4096,128,0.01594831742113456,deepmath:005a74061981d1174955f0d339217a910c724ac259267990b75a859417309ba5
Privilege-SD,1213,39,39,32,4096,128,0.014921358771971427,deepmath:005a8826414aec0cdf8fdb68a2c9759982ac52715514f8930b08d67176e76b8a
Privilege-SD,1245,40,40,32,4096,128,0.013418132803053595,deepmath:005ef7c198b0f12d759d3c44022c5b9b6835885d9adedf3299a5a841dfa37606
Privilege-SD,1277,41,41,32,4096,128,0.009784470435988624,deepmath:005fcaa3cd5ce509ada79200159f2963f75cce3f4b342e909dcce691603f6363
Privilege-SD,1309,42,42,32,4096,128,0.00892898443271406,deepmath:005ff290fdf393d59a5b8d4290edb9fc45fd31cbc060c53fe670a49e1a707207
Privilege-SD,1341,43,43,32,4096,128,0.009535998979117721,deepmath:006019d0d8727759a668b590d4d18310ef26f000198fc45615c8344f1836bc4c
Privilege-SD,1367,44,44,26,3240,128,0.012134301058235175,deepmath:0062d8df17cfc213a76d55cf9f0fcc49bf35eb2f8d4e3ef22a079fc8050263b5
Privilege-SD,1399,45,45,32,4096,128,0.017902167897773325,deepmath:006a6296970c739aec0280d9a66a4cea45836909b1d98923d278f9d94eb62692
Privilege-SD,1431,46,46,32,4096,128,0.016369495788239874,deepmath:006aa68dbaf5b654ad3071979c89dfa8a1b353843094321f7bbcd771349e6303
Privilege-SD,1454,47,47,23,2864,128,0.0287516576981994,deepmath:006c20fbdd524d08de9e89f371a1028b99a786d0f46aa240fbc25f4ffb877deb
Privilege-SD,1486,48,48,32,4096,128,0.008604331807873677,deepmath:006dc7e74a6c3850528e77c89f42357031e793700d0f5f4758cdbb3cc38bfce7
Privilege-SD,1518,49,49,32,4096,128,0.011181198759004474,deepmath:006ee740e3abf3acfb855487b476f329ba01c7f442dcea89e1b62c1a84b2f82b
Privilege-SD,1550,50,50,32,4096,128,0.0158346735406667,deepmath:0072530d36b2fe8963e61adb9abcf872fe99ac784e35ebdb7d493a9c9ddc8c73
Privilege-SD,1582,51,51,32,4096,128,0.009103229436732363,deepmath:0072a410ec2ad19dff87ce7c3854f83df91a11de998171c990d6ca603379c276
Privilege-SD,1614,52,52,32,4096,128,0.011202477238839492,deepmath:00757aaaa1947c28b2354d393d3d6b3997eedb797aaa9adb240d92236e4e5cbd
Privilege-SD,1629,53,53,15,1796,128,0.03588681323872516,deepmath:007584128ece78d87b2918b9c9a40bf6440654fd04dbc074f4cee50f83651029
Privilege-SD,1661,54,54,32,4096,128,0.010883902345085517,deepmath:00765d46d60d516368b3882f1790d110b557b285c44e4de4bc77151a88178d01
Privilege-SD,1693,55,55,32,4096,128,0.013522757639293559,deepmath:0076d82cd80345e2fef2aa0e8075b95dc5aa7fc14bfd5309ea5a9e82b0c997de
Privilege-SD,1717,56,56,24,3059,128,0.013173886944106608,deepmath:0078489488852fcf62ea236485cfb162411bdbaa4dfa7917c982e26b6f956d74
Privilege-SD,1738,57,57,21,2618,128,0.015483215086964635,deepmath:00792ef532c63549590ae6ba78dbff2fd1b98206fb3b7db8a0481c3e4dc68005
Privilege-SD,1770,58,58,32,4096,128,0.014597930858144537,deepmath:007bd5213ed53954fc9cea10022b7c2eeedd93a590a6b87867dd71396df24547
Privilege-SD,1799,59,59,29,3638,128,0.012401726848480137,deepmath:007ebc494c1ba6694022a6ae814c36264169fc2670594568135ed0ecbceb69e6
Privilege-SD,1831,60,60,32,4096,128,0.02504268055781722,deepmath:007f22293e9b6868f90b4c24378641097b6637f2d463c8c3e69540a9a12d779d
Privilege-SD,1855,61,61,24,3053,128,0.01813225956225528,deepmath:0081b6f03c24a7151ca8a2b8dbbd8b75f6227f8068a3c43d88a3e7227583aa8c
Privilege-SD,1887,62,62,32,4096,128,0.00789861757948529,deepmath:0086c010b9d632e4f89d32600eb4f1403cb9e9e260fcaf3d01d216fae135540f
Privilege-SD,1910,63,63,23,2832,128,0.009212200507511106,deepmath:0087f799089ae3e7e95c866954aaf8445958600cfd429f972e0229473c455471
Privilege-SD,1932,64,64,22,2690,128,0.014061096097173023,deepmath:008bf863b4040bc64f4359e5b0b35ddec9723395cfa59765a88a066679c8357b
TRSD,48,1,1,48,6036,128,0.0050240459084227515,deepmath:000396a98596544c4efcf7920bd3593967798c51453c9b87fd9fce5e5671dff9
TRSD,115,2,2,67,8449,128,0.005029745668951382,deepmath:0004c6dd393a6e2adcaa8b18b7e87d3f2bb7f3e51d739c2a5c4295824af67be0
TRSD,194,3,3,79,10088,128,0.004896929104274034,deepmath:00080e19a89caf5e89e3c03f2ed4e42a14af9cbba3ffb24665ce6b7e71498f8e
TRSD,265,4,4,71,9003,128,0.004948572177983225,deepmath:0009caf591ccc2b1ced8c9237dc60901c08b60814fbf5bdb5c140c9440499f38
TRSD,319,5,5,54,6852,128,0.004949624582492272,deepmath:000bec85574983ccd7fa789e3004278a170c434e5fed0c2670a2675e45795fd0
TRSD,371,6,6,52,6599,128,0.005060774274876053,deepmath:000ce126a7cd12f004824d5218ae1bd505e3b61f8ca9acf5a135cd5649457bad
TRSD,450,7,7,79,10038,128,0.004753379833712524,deepmath:0010c2479ec729a3849fb9597d860ccbe10c6b5fdedb63084ef3a2f9aa00899c
TRSD,529,8,8,79,10069,128,0.004934395095989239,deepmath:00110ba1c0fc2813cfb009f0fd0c8464282dec9f8c4bcb7a75baef9477efaca2
TRSD,572,9,9,43,5490,128,0.005016847750093985,deepmath:00113db063e1c3e78d585294481d46b878a50973b15386daabb17d70997a9641
TRSD,651,10,10,79,10101,128,0.004946506357691026,deepmath:0017bfb4db362431d2d67e122109b658e0ae133af418c50d20d309d5e6cbee4e
TRSD,704,11,11,53,6693,128,0.00514627029919204,deepmath:0019d522f65921ae7716a06a3640a9dd001b2cc37cb81d918f42a17df2e56d08
TRSD,751,12,12,47,6001,128,0.005112248096212191,deepmath:001ad0c6d02140cf28c798e3f7ae71bbd9e725fa3d997a64f91ffda63abfae6f
TRSD,781,13,13,30,3793,128,0.00490083146497564,deepmath:001c5b850b4838e15526cabbcaefcfface733f398c58069d733ab43514528437
TRSD,860,14,14,79,10089,128,0.004923403053362148,deepmath:002077dd6c1ff0e84014b2317f2afa082d05bd30adb11e1c285ac97102b453b2
TRSD,934,15,15,74,9417,128,0.004738090306364599,deepmath:0021b0ab1a3d40bbda1f867883fcc2b471e8004bb1ceef94ae4d945a04331051
TRSD,998,16,16,64,8084,128,0.0047349203036953355,deepmath:002231f1b4a81d1c3cd79b293ba11d6b0932a0a289f012ae4c37e53cceb8085e
TRSD,1077,17,17,79,10093,128,0.004649834871811802,deepmath:0023b171598bb9951d85c97138dffaa339dd71e418de52289f17b1c2accb2bf7
TRSD,1157,18,18,80,10138,128,0.004679388532179492,deepmath:0024f2386f12d2ffd829ce0edb4b52255c884198a0ab4512921b16a489ef0e33
TRSD,1178,19,19,21,2613,128,0.004511656956030772,deepmath:0024f4e3c836265ce9de50bc1570408221a74b8c963e77c81a3a6638cd12eb9a
TRSD,1226,20,20,48,6141,128,0.004736121837944496,deepmath:00256fe2b7cb245266e332d3cea7caae53d541c5529ab9c8a7bdc11a67e7cbbc
TRSD,1253,21,21,27,3386,128,0.004438432368102752,deepmath:0025b8fa07fb4804df8b60a33ac0e754a500755c86cd42f4523c68c5448a39bd
TRSD,1298,22,22,45,5720,128,0.004637972263853762,deepmath:00305fc24c2fc85f439eef8ee27e2438a61faa8c730626b33cc2cd77e98ce7e3
TRSD,1332,23,23,34,4334,128,0.0039236151003444256,deepmath:003067ef78fc841f6ac3c3129143429ceb0f761eb3f4a1c23939abdc0e7ac9b4
TRSD,1364,24,24,32,4094,128,0.004693949469977114,deepmath:0030a39029723cf4d2824fd7ff62334d027102bd1ba42320b18e529b88b130f9
TRSD,1440,25,25,76,9694,128,0.00414199721712032,deepmath:0032318139255abd2fb48e206ecc904b66dc536f2614324133a848ca0b62703a
TRSD,1520,26,26,80,10120,128,0.004457001872464813,deepmath:003412a3995cee9376a190a014939f06674cd6a6d7b35c1a7522a50b973e57ac
TRSD,1600,27,27,80,10124,128,0.004342062322990266,deepmath:003830d329c5036826b544eb05a5af80dbd2a359aac850da0dcacfeb6716cafe
TRSD,1679,28,28,79,10112,128,0.004427433576835673,deepmath:0038b4ece49376da9b176b48022b326becfa6d8b990467ff138402e37539558d
TRSD,1727,29,29,48,6080,128,0.004542666803555269,deepmath:003dcaad84f5c21a1487c54b23209c79a90072273df7a29e35dd63845b52107f
TRSD,1806,30,30,79,10109,128,0.004425890775424506,deepmath:003dd754a0b261d696d349dddb4a34ef7d50972c4201891c23ff46d4ef00bede
TRSD,1874,31,31,68,8677,128,0.0043353781037971115,deepmath:003e4e800a59d605dcd72b1719d992d346b01b6e895f6a92a7b12f39b58aaaa1
TRSD,1889,32,32,15,1799,128,0.004264272808398064,deepmath:003f11a5f8ee77c15cb77c3af9f2a4a07b00c80d0646b49748e70794c6d00e00
TRSD,1911,33,33,22,2816,128,0.00434192335921001,deepmath:0042ff3872891ac71b4a7bf6a9e70c583bb12a3253c423f3b438d1ce982fd773
TRSD,1990,34,34,79,10109,128,0.003966208832582223,deepmath:00465b0dba3ed87e4b7c8e6a307870f90d33588ebf9e5928f0b570bdaf1e2a96
TRSD,2032,35,35,42,5272,128,0.004294506966538991,deepmath:00483c5e025c9dff3522155103e5ac71456db89cf7720691de75cdaeff69e3cc
TRSD,2110,36,36,78,9964,128,0.004183333069972158,deepmath:004cad66393fc699153db15fa50b9068d07fb36707ae0e10a5acc9827a78cd55
TRSD,2144,37,37,34,4268,128,0.00436219172822809,deepmath:004fbec5f3d0f4836287dc846f18743dc62e33181d7743963994345dfc05d580
TRSD,2205,38,38,61,7770,128,0.004033529761809486,deepmath:005a74061981d1174955f0d339217a910c724ac259267990b75a859417309ba5
TRSD,2255,39,39,50,6371,128,0.004330338212351394,deepmath:005a8826414aec0cdf8fdb68a2c9759982ac52715514f8930b08d67176e76b8a
TRSD,2318,40,40,63,7998,128,0.004145261251455428,deepmath:005ef7c198b0f12d759d3c44022c5b9b6835885d9adedf3299a5a841dfa37606
TRSD,2398,41,41,80,10116,128,0.004463125280991709,deepmath:005fcaa3cd5ce509ada79200159f2963f75cce3f4b342e909dcce691603f6363
TRSD,2463,42,42,65,8289,128,0.004371968404830243,deepmath:005ff290fdf393d59a5b8d4290edb9fc45fd31cbc060c53fe670a49e1a707207
TRSD,2537,43,43,74,9382,128,0.004388598241769627,deepmath:006019d0d8727759a668b590d4d18310ef26f000198fc45615c8344f1836bc4c
TRSD,2569,44,44,32,3984,128,0.004559592303133151,deepmath:0062d8df17cfc213a76d55cf9f0fcc49bf35eb2f8d4e3ef22a079fc8050263b5
TRSD,2586,45,45,17,2082,128,0.004238841734919608,deepmath:006a6296970c739aec0280d9a66a4cea45836909b1d98923d278f9d94eb62692
TRSD,2665,46,46,79,10075,128,0.0041608880940944915,deepmath:006aa68dbaf5b654ad3071979c89dfa8a1b353843094321f7bbcd771349e6303
TRSD,2692,47,47,27,3390,128,0.00443761202350127,deepmath:006c20fbdd524d08de9e89f371a1028b99a786d0f46aa240fbc25f4ffb877deb
TRSD,2743,48,48,51,6491,128,0.004282943007081834,deepmath:006dc7e74a6c3850528e77c89f42357031e793700d0f5f4758cdbb3cc38bfce7
TRSD,2791,49,49,48,6019,128,0.004148531234708163,deepmath:006ee740e3abf3acfb855487b476f329ba01c7f442dcea89e1b62c1a84b2f82b
TRSD,2829,50,50,38,4770,128,0.004335765815896433,deepmath:0072530d36b2fe8963e61adb9abcf872fe99ac784e35ebdb7d493a9c9ddc8c73
TRSD,2908,51,51,79,10073,128,0.004506245077212565,deepmath:0072a410ec2ad19dff87ce7c3854f83df91a11de998171c990d6ca603379c276
TRSD,2987,52,52,79,10106,128,0.004191686059617782,deepmath:00757aaaa1947c28b2354d393d3d6b3997eedb797aaa9adb240d92236e4e5cbd
TRSD,2998,53,53,11,1314,128,0.0039284470557735575,deepmath:007584128ece78d87b2918b9c9a40bf6440654fd04dbc074f4cee50f83651029
TRSD,3077,54,54,79,10033,128,0.004109337394204012,deepmath:00765d46d60d516368b3882f1790d110b557b285c44e4de4bc77151a88178d01
TRSD,3115,55,55,38,4857,128,0.004320504673443534,deepmath:0076d82cd80345e2fef2aa0e8075b95dc5aa7fc14bfd5309ea5a9e82b0c997de
TRSD,3141,56,56,26,3235,128,0.003848494035141453,deepmath:0078489488852fcf62ea236485cfb162411bdbaa4dfa7917c982e26b6f956d74
TRSD,3178,57,57,37,4653,128,0.004147373102229051,deepmath:00792ef532c63549590ae6ba78dbff2fd1b98206fb3b7db8a0481c3e4dc68005
TRSD,3257,58,58,79,10099,128,0.0035902935234691726,deepmath:007bd5213ed53954fc9cea10022b7c2eeedd93a590a6b87867dd71396df24547
TRSD,3280,59,59,23,2845,128,0.004116624555761659,deepmath:007ebc494c1ba6694022a6ae814c36264169fc2670594568135ed0ecbceb69e6
TRSD,3319,60,60,39,4989,128,0.004371536168719514,deepmath:007f22293e9b6868f90b4c24378641097b6637f2d463c8c3e69540a9a12d779d
TRSD,3346,61,61,27,3407,128,0.0043216942603685376,deepmath:0081b6f03c24a7151ca8a2b8dbbd8b75f6227f8068a3c43d88a3e7227583aa8c
TRSD,3375,62,62,29,3618,128,0.003927585493563172,deepmath:0086c010b9d632e4f89d32600eb4f1403cb9e9e260fcaf3d01d216fae135540f
TRSD,3398,63,63,23,2847,128,0.0038523485938971036,deepmath:0087f799089ae3e7e95c866954aaf8445958600cfd429f972e0229473c455471
TRSD,3413,64,64,15,1796,128,0.003852095303902473,deepmath:008bf863b4040bc64f4359e5b0b35ddec9723395cfa59765a88a066679c8357b
